"E5_BT"	"T1BT_BE"	"E9_BE"	"T3BT_BE"	"E10_BT"	"E7_BE"	"T4BT_BE"	"E8_BE"	"E8_BT"	"E13_BE"	"P4E2_SR3_R4"	"E16_BT"	"E13_BT"	"E6_BT"	"T4BT_BT"	"E12_BE"	"E2_BT"	"T2BT_BT"	"E2_BE"	"B2P3_MV4"	"B1P7_MV4"	"E15_BT"	"T5BT_BE"	"T1BT_BT"	"T2BT_BE"	"E16_BE"	"E14_BE"	"E1_BT"	"E15_BE"	"E1_BE"	"E12_BT"	"E4_BT"	"E11_BT"	"E11_BE"	"E9_BT"	"E17_BE"	"E14_BT"	"E7_BT"	"T1_MV4"	"B2P2_MV8"	"B1P3_MV8"	"B3P4_MV4"	"B3P1_MV8"	"B3P7_MV4"	"B3P3_MV8"	"T5_MV4"	"B3P6_MV8"	"P4E1_SR3_R4"	"B2P1_MV8"	"B3P5_MV8"	"B2P4_MV4"	"T1_SR3_R4"	"T3_MV8"	"B1P2_MV8"	"T4_MV8"	"T5_MV8"	"B3P7_MV8"	"B3P2_MV8"	"B2P7_MV4"	"B3P5_MV4"	"T1_MV8"	"P1E1_SR3_R4"	"B3P2_MV4"	"P1E3_SR3_R4"	"B1P6_MV4"	"B3P6_MV4"	"B1P5_MV8"	"B1P3_MV4"	"B3P1_MV4"	"T2_MV4"	"B1P7_MV8"	"T4_SR3_R4"	"B3P4_MV8"	"T4_MV4"	"B2P6_MV4"	"P3E1_SR3_R4"	"B2P1_MV4"	"B2P4_MV8"	"P5E3_SR3R4"	"P3E4_SR3_R4"	"B1P1_MV8"	"B1P8_MV8"	"B2P6_MV8"	"B1P4_MV8"	"B1P4_MV4"	"T2_MV8"	"B2P5_MV4"	"B2P2_MV4"	"T3_MV4"	"B2P8_MV8"	"B1P6_MV8"	"B1P1_MV4"	"B1P5_MV4"	"B2P3_MV8"	"B3P3_MV4"	"P5E2_SR3_R4"	"B2P5_MV8"	"B2P7_MV8"	"P3E3_SR3_R4"	"P1E4_SR3_R4"	"P3E2_SR3_R4"	"T6_SR3_R4"	"T5_SR3_R4"	"P2E3_SR3_R4"	"P5E1_SR3_R4"	"P4E4_SR3_R4"	"P2E1_SR3_R4"	"T3_SR3_R4"	"T2_SR3_R4"	"P5E4_SR3_R4"	"P1E2_SR3_R4"	"P2E4_SR3_R4"	"P4E3_SR3_R4"	"P2E2_SR3_R4"	"B1P2_MV4"	"annotation"
"VTX00423"	71	3	2	4	0	123	194	0	22	6	32	0	17	2	2	12	2	1	95	1	2	54	31	10	1	105	38	1	29	24	34	1	0	56	0	2	1	73	0	0	0	13	226	342	24	0	0	2113	2	77	0	5157	3	9	12	2	100	98	1080	12545	2	651	1	0	0	884	0	0	326	0	0	633	248	0	3	1189	1	1	1705	0	0	1	1	0	0	5	2	4189	0	0	0	0	0	0	2822	2437	2	38	12	0	13	482	2	248	0	0	912	3440	16700	1532	194	792	3167	3762	7	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;Alguacil14b"
"VTX00064"	26	1	8	20	363	143	273	0	2	0	0	1	266	2	0	0	0	16	0	0	175	1	20	0	0	41	0	32	371	8	0	0	1	1	89	0	0	0	2	3547	466	2460	121	33	0	64	0	461	806	2326	27765	3	0	1022	0	51	0	0	2257	2506	1720	1	0	142	15	0	120	8	0	1	256	86	434	1	831	0	2388	116	0	2	181	758	2	2892	13	138	268	4	1	0	316	1612	48	215	254	1	91	0	309	23	0	0	0	0	0	0	2	1	0	1	0	3	0	0	0	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;MO-G18"
"VTX00222"	32	0	102	21	1	10	8	35	34	1	0	0	0	0	1	1	0	45	25	1412	3696	1	535	1	25	0	15	2	60	0	0	0	9	1	0	9	1	0	2	669	1514	864	55	340	344	84	520	1636	0	220	685	1	9	2237	43	37	136	1801	0	166	42	99	2137	151	2086	71	19	393	205	806	0	96	276	208	1	263	123	251	0	1	1370	296	74	177	56	294	5579	234	117	446	4954	1	202	341	165	1	977	171	53	117	92	0	0	0	0	0	2	1	1097	0	0	3	411	108	1	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;MO-G23"
"VTX00278"	0	0	0	0	0	1	0	0	9	1	155	0	0	0	0	0	0	0	0	0	121	0	0	0	1	23	0	0	87	32	0	0	0	2	1	0	2	0	0	2	0	0	0	0	0	0	1	920	19	1	0	4	3	0	0	0	0	2	0	0	101	1097	0	520	0	0	28	0	7	0	0	1456	0	0	68	382	1	0	2954	817	2	10	0	0	2	0	0	0	0	1	0	0	0	0	0	1581	0	1	829	401	45	6125	4634	1335	1578	925	4821	2247	1275	4228	119	323	197	1153	0	"Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus;ORVIN"
"VTX00160"	28	15	17	784	278	0	167	78	20	0	53	0	0	30	0	17	4	1	0	1841	2091	19	711	83	0	0	123	17	127	0	25	0	0	1	0	1	0	0	2	341	167	1021	162	394	261	45	101	2302	1951	59	871	0	1124	3382	1	191	219	448	0	3018	196	108	586	707	463	1162	0	346	173	1163	472	5	15	0	57	0	2267	326	0	0	225	24	55	1	0	110	2	740	476	1989	1789	1	572	400	301	605	0	51	234	25	1	351	167	153	0	1	1	0	0	486	0	0	2	0	0	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;MO-G27"
"VTX00060"	106	1	282	199	0	438	1	1529	584	0	0	1367	55	294	533	2	61	58	25	445	706	74	449	45	1	1517	1133	10	1255	105	5	551	7	1	245	1800	0	509	299	619	798	349	2576	13	463	225	165	0	18	264	3	1	383	228	41	308	606	0	250	620	439	0	0	1	959	37	0	158	200	1170	177	10	889	1091	86	0	622	367	0	1	82	1853	317	0	182	467	2608	639	239	194	1036	0	84	129	1	1	1017	404	67	11	3	1	0	0	0	0	0	1	1	0	1	2	33	0	0	"Glomeromycetes;Diversisporales;Diversisporaceae;Diversispora;MO-GC1"
"VTX00109"	0	0	1	10	0	0	0	0	3	0	2	0	0	0	1	0	0	1	1	6	55	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	28	15	2	22	180	23	34	31	952	2694	39	49	5	799	21	1	11	43	43	5	9	127	23	3599	3	212	8	1	2	18	4	0	55	3123	23	0	10	362	7	22	7	58	102	0	4	0	52	2	6	4	1	3	0	15	35	11	73	202	2	19	300	646	422	2146	225	4693	8	2454	891	613	641	35	2051	293	314	872	40	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glo45"
"VTX00199"	457	677	166	117	151	94	567	16	23	41	0	0	0	0	0	17	0	34	7459	0	0	2	185	29	108	162	116	92	90	46	98	138	84	281	106	130	15	22	0	0	1	763	26	14174	56	0	1	0	0	1	0	1	1	0	0	0	11	0	1	283	1144	1	1	2	0	0	0	2	0	0	2	0	0	0	816	0	0	1	0	0	0	30	1	0	0	1	0	0	0	155	14	1	0	0	1	1	0	1	71	0	0	0	0	0	0	0	0	0	0	0	181	1	258	118	0	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;MO-G7"
"VTX00125"	1	23	11	0	0	0	0	0	1	0	0	1	87	0	0	12	0	61	0	1770	1669	0	210	0	19	0	0	0	56	4	0	0	0	0	45	2	0	25	176	162	445	243	1	639	75	54	157	561	0	88	477	0	0	624	33	5	13	676	0	193	56	412	1191	312	854	1	0	1798	101	280	59	0	214	0	0	102	245	92	0	49	418	31	26	2184	47	199	3458	131	103	271	1686	0	127	234	161	1	275	112	53	102	31	0	0	0	0	0	0	0	0	1	0	0	221	1	0	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;MO-G22"
"VTX00143"	336	309	99	643	14	508	2683	0	705	126	0	300	481	13	39	376	1	166	2820	0	108	2	1505	283	33	517	112	1	1407	267	1168	1	56	2730	0	70	21	1686	1	11	1	822	160	36	0	0	0	15	28	342	1	12	25	229	351	75	2	182	42	615	9	2	0	1	1	32	1	1	1	0	0	4	40	0	0	4	0	0	4	1	0	1	0	0	1	130	0	102	0	38	4	0	0	3	417	5	0	0	313	0	0	0	1	0	0	0	1	7	47	3	0	2	13	2	7	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;MO-G20"
