"VT" "OTU" "E3.BT" "E5.BT" "T1BT.BE" "E9.BE" "T3BT.BE" "E10.BT" "E7.BE" "T4BT.BE" "E8.BE" "E8.BT" "E13.BE" "P4E2.SR3.R4" "E16.BT" "E13.BT" "E6.BT" "T4BT.BT" "E12.BE" "E2.BT" "T2BT.BT" "E2.BE" "B2P3.MV4" "B1P7.MV4" "E15.BT" "T5BT.BE" "T1BT.BT" "T2BT.BE" "E16.BE" "E14.BE" "E1.BT" "E15.BE" "E1.BE" "E12.BT" "E4.BT" "E11.BT" "E11.BE" "E9.BT" "E17.BE" "E14.BT" "E7.BT" "T1.MV4" "B2P2.MV8" "B1P3.MV8" "B3P4.MV4" "B3P1.MV8" "B3P7.MV4" "B3P3.MV8" "T5.MV4" "B3P6.MV8" "P4E1.SR3.R4" "B2P1.MV8" "B3P5.MV8" "B2P4.MV4" "T1.SR3.R4" "T3.MV8" "B1P2.MV8" "T4.MV8" "T5.MV8" "B3P7.MV8" "B3P2.MV8" "B2P7.MV4" "B3P5.MV4" "T1.MV8" "P1E1.SR3.R4" "B3P2.MV4" "P1E3.SR3.R4" "B1P6.MV4" "B3P6.MV4" "B1P5.MV8" "B1P3.MV4" "B3P1.MV4" "T2.MV4" "B1P7.MV8" "T4.SR3.R4" "B3P4.MV8" "T4.MV4" "B2P6.MV4" "P3E1.SR3.R4" "B2P1.MV4" "B2P4.MV8" "P5E3.SR3R4" "P3E4.SR3.R4" "B1P1.MV8" "B1P8.MV8" "B2P6.MV8" "B1P4.MV8" "B1P4.MV4" "T2.MV8" "B2P5.MV4" "B2P2.MV4" "T3.MV4" "B2P8.MV8" "B1P6.MV8" "B1P1.MV4" "B1P5.MV4" "B2P3.MV8" "B3P3.MV4" "P5E2.SR3.R4" "B2P5.MV8" "B2P7.MV8" "P3E3.SR3.R4" "P1E4.SR3.R4" "P3E2.SR3.R4" "T6.SR3.R4" "T5.SR3.R4" "P2E3.SR3.R4" "P5E1.SR3.R4" "P4E4.SR3.R4" "P2E1.SR3.R4" "T3.SR3.R4" "T2.SR3.R4" "P5E4.SR3.R4" "P1E2.SR3.R4" "P2E4.SR3.R4" "P4E3.SR3.R4" "P2E2.SR3.R4" "B1P2.MV4" "OTU.phylogeny"
"VTX00026" "OTU4.11463338857097e+31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 9 3 0 0 4 2 3 2 5 0 0 0 4 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00026" "OTU5.46134411670025e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 3 16 2 6 3 6 10 14 16 2 28 7 30 8 29 28 3 0 4 15 16 6 37 4 10 7 2 1 3 33 15 11 0 1 1 0 4 0 6 4 19 6 0 2 39 7 2 0 10 17 2 3 3 2 6 4 6 8 36 0 8 10 0 1 50 0 2 11 3 54 26 4 0 12 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales; Ambiguous_taxa"
"VTX00026" "OTU3.97006375555371e+31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 4 16 2 5 1 12 6 14 19 1 21 7 22 15 16 38 5 0 6 11 12 8 32 3 5 14 1 0 1 19 4 14 0 1 0 0 8 0 4 5 25 12 0 1 18 6 1 1 20 6 4 0 0 1 5 10 6 3 26 0 1 7 0 4 38 0 3 6 1 53 46 0 1 9 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; D_11__; D_12__; D_13__; D_14__"
"VTX00026" "OTU7.85671611986633e+32" 10 3 1 1 4 1 3 3 1 1 1 99 2 4 2 0 1 2 2 2 684 4928 1 2 0 4 0 0 3 3 1 2 4 2 2 9 0 0 7 157 2320 1067 1160 6012 806 1440 584 5008 981 5645 5258 387 8866 2505 9175 4326 9333 9192 3563 41 1727 5548 3156 1985 11975 1907 3162 4006 1037 93 1064 9461 3624 7074 2 937 532 207 2552 2 1108 2584 12506 7396 0 1614 10890 1782 1420 358 5667 4640 2277 613 461 306 1435 4545 1241 1886 9229 102 1526 2492 5 1957 10199 2 2029 4673 411 23028 16097 389 688 4672 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales; Ambiguous_taxa"
"VTX00026" "OTU9.75656967215151e+32" 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 339 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 150 183 20 328 44 40 14 49 1 242 476 11 5 16 724 74 392 738 2 0 0 94 6 0 13 24 140 294 34 0 0 508 6 171 0 0 38 0 13 0 0 76 177 123 0 32 815 2 85 1 162 50 4 7 1 0 1 24 119 94 5 0 1 1 0 1 154 0 161 3 0 53 9 1 3 8 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales; Ambiguous_taxa"
"VTX00026" "OTU1.40148024914772e+31" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 5 0 0 0 0 2 249 0 0 0 0 0 0 4 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00026" "OTU5.46147938105381e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 39 4 0 0 7 8 21 20 8 1 0 0 3 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00026" "OTU2.67971587880506e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 42 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 64 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 15 2 3 77 39 0 0 43 27 68 41 24 9 0 0 22 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00026" "OTU6.44733695251975e+32" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 310 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 14 9 23 3 1 0 0 95 2 562 1 107 1 0 0 58 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00026" "OTU5.26317811380235e+32" 0 0 1 14 178 47 54 0 22 17 0 0 0 0 0 10 0 0 0 0 0 0 0 43 0 0 0 2 0 0 0 0 0 10 0 0 0 1 0 0 0 1 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
