"VT" "OTU" "E3.BT" "E5.BT" "T1BT.BE" "E9.BE" "T3BT.BE" "E10.BT" "E7.BE" "T4BT.BE" "E8.BE" "E8.BT" "E13.BE" "P4E2.SR3.R4" "E16.BT" "E13.BT" "E6.BT" "T4BT.BT" "E12.BE" "E2.BT" "T2BT.BT" "E2.BE" "B2P3.MV4" "B1P7.MV4" "E15.BT" "T5BT.BE" "T1BT.BT" "T2BT.BE" "E16.BE" "E14.BE" "E1.BT" "E15.BE" "E1.BE" "E12.BT" "E4.BT" "E11.BT" "E11.BE" "E9.BT" "E17.BE" "E14.BT" "E7.BT" "T1.MV4" "B2P2.MV8" "B1P3.MV8" "B3P4.MV4" "B3P1.MV8" "B3P7.MV4" "B3P3.MV8" "T5.MV4" "B3P6.MV8" "P4E1.SR3.R4" "B2P1.MV8" "B3P5.MV8" "B2P4.MV4" "T1.SR3.R4" "T3.MV8" "B1P2.MV8" "T4.MV8" "T5.MV8" "B3P7.MV8" "B3P2.MV8" "B2P7.MV4" "B3P5.MV4" "T1.MV8" "P1E1.SR3.R4" "B3P2.MV4" "P1E3.SR3.R4" "B1P6.MV4" "B3P6.MV4" "B1P5.MV8" "B1P3.MV4" "B3P1.MV4" "T2.MV4" "B1P7.MV8" "T4.SR3.R4" "B3P4.MV8" "T4.MV4" "B2P6.MV4" "P3E1.SR3.R4" "B2P1.MV4" "B2P4.MV8" "P5E3.SR3R4" "P3E4.SR3.R4" "B1P1.MV8" "B1P8.MV8" "B2P6.MV8" "B1P4.MV8" "B1P4.MV4" "T2.MV8" "B2P5.MV4" "B2P2.MV4" "T3.MV4" "B2P8.MV8" "B1P6.MV8" "B1P1.MV4" "B1P5.MV4" "B2P3.MV8" "B3P3.MV4" "P5E2.SR3.R4" "B2P5.MV8" "B2P7.MV8" "P3E3.SR3.R4" "P1E4.SR3.R4" "P3E2.SR3.R4" "T6.SR3.R4" "T5.SR3.R4" "P2E3.SR3.R4" "P5E1.SR3.R4" "P4E4.SR3.R4" "P2E1.SR3.R4" "T3.SR3.R4" "T2.SR3.R4" "P5E4.SR3.R4" "P1E2.SR3.R4" "P2E4.SR3.R4" "P4E3.SR3.R4" "P2E2.SR3.R4" "B1P2.MV4" "OTU.phylogeny"
"VTX00062" "OTU4.07438071033955e+32" 25 138 8 50 111 4 77 212 183 81 15 1 5 23 11 3 1 0 4 71 79 490 1 376 0 67 83 40 1 147 34 4 61 11 23 5 366 1 64 373 631 413 78 223 22 54 448 252 0 92 3 149 0 464 135 639 120 343 52 1107 116 666 43 63 0 1085 1366 0 100 728 994 399 8 27 1243 8 0 1196 930 0 1 600 85 17 74 1081 349 485 182 338 282 292 225 46 928 16 0 55 1256 1 2 2 0 0 1 1 0 0 0 0 1 2 1 14 0 1 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; D_11__; D_12__; D_13__; D_14__"
"VTX00062" "OTU7.58347147351792e+32" 2 0 0 1 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 1 8 12 0 8 0 0 0 1 0 2 0 0 0 0 0 0 5 0 0 6 11 7 3 1 1 5 16 1 0 0 8 3 0 5 1 3 5 11 0 9 4 0 0 0 0 24 12 0 6 5 22 3 0 4 12 0 0 3 12 0 0 16 11 12 1 11 14 51 9 5 3 13 2 1 14 0 0 8 38 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; D_11__; D_12__; D_13__; D_14__"
"VTX00062" "OTU2.72096016588506e+32" 11 8 1 12 91 0 8 0 95 14 0 0 0 3 1 5 0 12 4 0 1 251 5 140 0 0 41 23 0 72 22 0 76 12 0 8 242 0 0 25 5 109 2 81 0 21 36 0 0 2 5 3 0 2 69 9 0 3 7 20 5 5 0 1 0 286 32 0 1 1 25 142 0 5 5 11 0 14 25 0 2 64 51 22 367 26 108 11 42 26 162 287 1 24 662 12 0 26 101 0 12 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales"
"VTX00062" "OTU4.3195904138194e+32" 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 3 0 0 2 0 0 1 0 0 0 13 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 3 0 0 0 2 0 0 0 0 1 0 3 0 9 0 3 0 0 0 3 2 0 0 10 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales"
"VTX00064" "OTU7.8832757275767e+32" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 414 9 0 0 0 0 0 3 3 12 94 1 0 192 0 0 0 0 4 13 8 0 0 135 0 0 2 0 0 0 122 0 2 1 3 0 9 0 0 1 2 5 0 614 12 0 0 0 0 0 206 5 1 2 2 0 1 0 47 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00064" "OTU9.01390466820672e+32" 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 7 0 0 0 0 1 0 0 7 0 0 0 0 0 0 0 0 0 0 147 5 12 10 0 0 2 0 3 7 13 110 0 0 26 0 0 0 0 194 19 65 0 0 0 1 0 1 0 0 0 3 3 3 0 14 0 147 3 0 0 7 21 0 15 0 2 16 0 0 0 4 30 0 16 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00064" "OTU7.9709815078186e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00064" "OTU9.64437514698957e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 15742 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00064" "OTU9.90551074970142e+32" 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 18 3 30 0 0 0 0 0 2 7 13 59 1 0 64 0 2 0 0 10 15 6 0 0 2 1 0 0 0 0 0 120 0 1 0 7 0 13 0 0 0 2 3 0 2099 0 1 1 0 0 0 100 2 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00064" "OTU6.75576357112458e+32" 0 0 0 0 0 0 2 5 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 15 1 5 0 0 0 0 0 7 8 21 12 0 0 5 0 1 0 0 10 11 10 0 0 0 0 0 6 0 0 0 0 0 3 0 3 0 3 1 0 0 2 7 0 3 0 0 0 0 0 0 0 0 0 4 3 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00064" "OTU6.91252033631017e+32" 0 25 1 8 20 361 140 266 0 1 0 0 1 262 1 0 0 0 16 0 0 161 1 20 0 0 40 0 31 360 8 0 0 1 0 89 0 0 0 2 3355 38 2404 111 33 0 62 0 446 781 2267 11723 1 0 733 0 48 0 0 2039 2447 1631 1 0 5 13 0 111 8 0 0 9 83 424 0 804 0 2216 112 0 1 167 722 1 142 1 135 251 3 0 0 6 1575 47 192 249 0 85 0 256 23 0 0 0 0 0 0 2 1 0 0 0 2 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00064" "OTU2.79381819530649e+31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00065" "OTU7.09692476733249e+32" 81 0 23 200 125 123 3 41 1 475 2 0 648 0 81 928 0 0 493 0 0 2 0 160 0 17 0 55 0 4 5 97 2 0 785 156 0 0 87 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__Glomeraceae"
"VTX00067" "OTU9.24692450309507e+32" 142 1520 279 1917 6523 80 4608 407 1568 18639 4 2 5379 68 7352 2790 39 107 5264 167 3 2014 124 17601 324 519 1238 8183 184 3446 1032 11392 1036 3089 45 686 596 34 16848 551 239 183 249 617 185 877 68 182 2878 973 234 5662 1 3296 886 589 58 902 1246 496 2353 1987 97 889 781 1359 6199 4 183 240 98 4 4 147 744 581 1394 1513 1344 597 153 673 1177 1525 0 43 2508 9 1186 2649 5942 588 1129 13560 860 163 433 15700 2351 287 44 31 418 983 199 0 0 1 1258 1 450 155 2 2 621 2 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__Glomeraceae"
"VTX00067" "OTU1.21989346961858e+32" 0 2 0 0 9 0 2 0 0 5 0 0 0 0 1 0 0 0 0 0 0 10 0 23 0 0 2 2 0 1 0 0 1 0 0 0 1 0 1 1 1 0 0 4 0 1 0 0 6 2 1 4 0 12 0 2 0 8 0 3 10 6 2 0 0 1 9 0 0 0 0 0 1 0 1 2 4 1 2 0 0 4 0 4 0 0 4 0 0 2 2 0 2 25 5 1 0 22 4 0 0 0 5 1 0 0 0 0 15 0 3 0 0 0 1 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__Glomeraceae"
"VTX00067" "OTU4.06509712396023e+32" 0 2 0 0 0 0 8 0 0 4 0 0 0 0 6 0 0 0 6 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 10 0 1 0 0 0 0 15 0 0 0 4 8 8 0 17 7 1 0 5 15 1 8 1 0 0 0 1 6 0 0 0 2 0 0 3 6 1 6 0 3 0 0 13 1 10 0 0 7 0 1 25 52 0 0 0 2 1 9 42 4 1 0 0 1 6 0 0 0 0 19 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__Glomeraceae"
"VTX00067" "OTU9.41281591749075e+32" 0 0 1 10 4 0 2 0 2 1 0 0 1 0 0 0 0 0 0 0 0 4 0 12 0 1 1 6 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 4 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 1 0 1 0 0 4 1 27 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__Glomeraceae"
"VTX00067" "OTU7.20192264999458e+32" 0 1 0 6 6 0 3 0 1 18 0 0 126 0 7 3 0 0 4 0 0 2 0 13 0 0 1 10 0 5 1 29 3 0 0 2 2 0 19 0 1 1 1 0 0 3 0 0 1 3 1 2 0 2 2 0 0 2 2 2 1 0 0 4 0 0 6 0 0 0 0 0 0 0 0 0 3 3 0 3 0 4 0 0 0 0 3 0 1 1 4 0 0 16 0 0 0 17 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__Glomeraceae"
"VTX00086" "OTU2.13613344942573e+32" 0 0 0 0 27 6 7 45 0 27 0 0 0 0 0 0 19 0 0 12 0 294 0 7 0 0 0 7 0 49 13 10 0 0 19 0 32 0 33 0 0 418 0 0 59 372 26 10 63 2 3 246 1 212 8 189 60 10 39 1 4 76 447 1 250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00086" "OTU8.89907515068202e+32" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 2 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00086" "OTU3.69138823420297e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa"
"VTX00086" "OTU3.78691745918758e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00092" "OTU5.62193738475372e+32" 49 21 310 31 22 15 145 166 105 38 130 0 5 6 1 12 196 3 17 91 2 0 2 45 8 266 30 38 2 40 18 8 18 24 138 5 218 75 1 0 14 130 0 5 3 34 8 21 1 16 27 2 0 0 11 0 0 2 30 0 2 2 0 4 7 3 2 1 50 104 2 0 1 6 16 56 5 0 45 0 0 2 2 4 1 0 0 0 2 2 4 0 1 3 13 0 0 4 1 3 1 1 1 2 1 1 0 4 0 1 3 0 1 1 0 1 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU9.9444257707195e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU5.23566813819642e+32" 1 1 2 1 0 0 0 15 0 6 0 789 0 0 1 0 0 0 0 2 2 338 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 173 2 51 20 53 0 114 35 1820 139 27 253 1 3 45 24 20 21 357 4 0 125 1769 726 1452 1 1 1 46 185 0 0 931 40 0 0 1640 0 28 126 617 238 32 0 0 1 41 1 191 152 13 0 0 62 0 28 21 0 32 616 768 222 1600 1387 2351 1378 1088 9 1223 606 2033 2414 1583 4 2774 1 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU6.90931544809075e+32" 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 20 0 1 0 2 1 0 0 0 2 0 0 0 10 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 11 6 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU5.77213174316377e+32" 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 4 0 0 0 1 29 2 0 4 31 1 0 1 0 0 2 19 0 4 59 0 27 3 0 0 3 1 0 0 166 0 0 0 9 0 0 14 9 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 38 0 0 19 24 3 45 102 102 56 38 22 155 42 132 66 50 25 130 3 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU9.8620502420944e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 42 2 1 6 4 1 0 0 0 0 4 1 0 1 19 2 8 0 0 0 0 0 0 0 30 1 0 0 19 0 2 4 0 1 0 0 0 0 0 0 7 0 0 0 0 1 0 1 8 0 0 9 6 1 25 16 13 6 9 0 49 78 38 20 17 3 74 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU6.38804803560113e+32" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 902 0 0 0 0 0 0 0 260 0 0 3 0 0 0 0 0 0 4 999 1 0 2 4 2 0 0 0 54 0 0 0 418 0 0 1 5 0 0 2 81 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 1 0 0 20 82 1 0 2 3 2 1 3 4 1 2 1 5 1158 438 1 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU6.07337788428797e+32" 0 4 3 2 1 0 0 3 1 0 1 0 0 0 0 0 0 0 0 15 0 58 0 3 0 0 4 0 0 1 1 1 1 0 0 0 1 0 1 0 112 8 0 3 0 6 8 2 0 0 0 12 1 25 0 24 0 2 1 423 3 32 39 3 6 3 2 0 2 3 0 0 12 2 21 0 0 20 2 0 2 12 0 0 0 3 1 0 0 0 0 0 0 0 0 2 0 0 5 2 0 1 0 2 9 0 3 0 0 0 0 0 0 3 1 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU2.32093061387708e+32" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 5 0 2 0 0 0 0 0 0 0 9 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 520 0 0 0 1 0 2 6 463 6 2 6 9 2 19 488 6 2 481 1 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU5.42968101425917e+32" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 1 0 12 0 0 0 7 0 0 0 0 0 0 37 0 1 22 0 1 0 0 0 3 0 0 1 16 0 0 0 2 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 3 6 35 8 8 2 8 0 7 10 1 8 7 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00093" "OTU4.81942748523846e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 16 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 42 2 0 1 0 0 1 1 2 1 0 1 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
